,0
0,0.962926829268293
1,0.398042414355628
2,0.242201834862385
3,0.478486262312079
4,0.547694753577107
5,1.05598692276257
6,1.08460846084608
7,0.514285714285714
8,1.15949367088608
9,0.272992700729927
10,2.2891016871865
11,1.13070942662779
12,0.122781774580336
13,0.0342396777442095
14,2.10631531122217
15,0.608584785380365
16,0.141891891891892
17,2.11233307148468
18,0.434552998868351
19,0.0043000477783085
20,0.0527620396600568
21,0.438389788905253
22,0.817698442840866
23,0.725472273004266
24,0.164279319606088
25,0.0143635463100545
26,0.137022397891963
27,0.412765957446808
28,0.481862964621585
29,1.19461400359066
30,0.429820301117047
31,1.03564998199496
32,3.26085286208221
33,1.06444833625219
34,1.07527206771463
35,0.300341296928328
36,0.689055894786285
37,0.603182256509161
