,0
299,ELK1_expression
300,ELK3_expression
301,ELK4_expression
302,ELL_expression
303,EP300_expression
304,EPAS1_expression
305,EPHA1_expression
306,EPHA2_expression
307,EPHA3_expression
308,EPHA4_expression
309,EPHA5_expression
310,EPHA7_expression
311,EPHA8_expression
312,EPHB1_expression
313,EPHB2_expression
314,EPHB4_expression
315,EPHB6_expression
316,EPS8_expression
317,ERBB2_expression
318,ERBB3_expression
319,ERBB4_expression
320,ERC2_expression
321,ERCC1_expression
322,ERCC2_expression
323,ERCC3_expression
324,ERCC4_expression
325,ERCC5_expression
326,ERCC6L_expression
327,EREG_expression
328,ERGIC3_expression
329,ERICH1_expression
330,ERN1_expression
331,ESCO2_expression
332,ESPL1_expression
333,EVL_expression
334,EWSR1_expression
335,EXOC4_expression
336,EXT1_expression
337,EXT2_expression
338,EYA4_expression
339,EZH2_expression
340,F2RL2_expression
341,FADD_expression
342,FAM20C_expression
343,FARP1_expression
344,FAS_expression
345,FASLG_expression
346,FASTK_expression
347,FBXL14_expression
348,FBXW11_expression
349,FBXW7_expression
350,FER_expression
351,FES_expression
352,FGF18_expression
353,FGF3_expression
354,FGFR1_expression
355,FGFR2_expression
356,FGFR3_expression
357,FGFR4_expression
358,FGR_expression
359,FH_expression
360,FKBP1A_expression
361,FLNA_expression
362,FLNB_expression
363,FLT1_expression
364,FLT3_expression
365,FN1_expression
366,FOS_expression
367,FOXC1_expression
368,FOXC2_expression
369,FOXM1_expression
370,FOXO1_expression
371,FOXO3_expression
372,FOXO4_expression
373,FRK_expression
374,FRZB_expression
375,FYN_expression
376,FZD1_expression
377,FZD10_expression
378,FZD2_expression
379,FZD4_expression
380,FZD5_expression
381,FZD6_expression
382,FZD7_expression
383,FZD8_expression
384,FZD9_expression
385,GADD45A_expression
386,GADD45B_expression
387,GADD45G_expression
388,GAK_expression
389,GALNS_expression
390,GAS1_expression
391,GCK_expression
392,GEM_expression
393,GLI1_expression
394,GLI3_expression
395,GNAS_expression
396,GRAP2_expression
397,GRB2_expression
398,GRK4_expression
399,GRK5_expression
400,GRK6_expression
401,GSK3B_expression
402,GUCY1A2_expression
403,HAPLN1_expression
404,HCK_expression
405,HDAC1_expression
406,HDAC11_expression
407,HDAC2_expression
408,HDAC3_expression
409,HDAC4_expression
410,HDAC5_expression
411,HDAC6_expression
412,HDAC7_expression
413,HDAC8_expression
414,HDAC9_expression
415,HGF_expression
416,HIF1AN_expression
417,HIPK1_expression
418,HIPK2_expression
419,HIPK3_expression
420,HMG20B_expression
421,HNF1A_expression
422,HNF1B_expression
423,HNRNPH2_expression
424,HRAS_expression
425,HSP90AA1_expression
426,HSP90AB1_expression
427,HSP90B1_expression
428,HSPB8_expression
429,HUNK_expression
430,ICK_expression
431,ID1_expression
432,ID3_expression
433,IFI27_expression
434,IFT172_expression
435,IFT57_expression
436,IFT81_expression
437,IFT88_expression
438,IGF1_expression
439,IGF1R_expression
440,IGF2_expression
441,IGF2R_expression
442,IGFBP7_expression
443,IGSF9_expression
444,IKBKB_expression
445,IKBKE_expression
446,IKBKG_expression
447,IL11_expression
448,IL12RB1_expression
449,IL1A_expression
450,IL1B_expression
451,IL1R1_expression
452,IL6_expression
453,IL6ST_expression
454,ILK_expression
455,INCENP_expression
456,INPP5D_expression
457,INPPL1_expression
458,INSR_expression
459,INVS_expression
460,IPCEF1_expression
461,IQGAP2_expression
462,IRAK1_expression
463,IRAK2_expression
464,IRAK3_expression
465,IRF3_expression
466,IRS1_expression
467,IRS2_expression
468,ITCH_expression
469,ITGAE_expression
470,ITK_expression
471,JAK1_expression
472,JAK2_expression
473,JUN_expression
474,JUNB_expression
475,JUND_expression
476,KCNQ5_expression
477,KDR_expression
478,KIF15_expression
479,KIF1B_expression
480,KIF2C_expression
481,KIF3A_expression
482,KIF3B_expression
483,KIFAP3_expression
484,KISS1_expression
485,KIT_expression
486,KITLG_expression
487,KRAS_expression
488,KREMEN1_expression
489,KREMEN2_expression
490,KRT20_expression
491,KRT73_expression
492,KSR2_expression
493,LAMTOR3_expression
494,LATS2_expression
495,LCK_expression
