,0
303,PAK1_expression
304,PAK4_expression
305,PARD3_expression
306,PARK7_expression
307,PARP1_expression
308,PARP2_expression
309,PCNA_expression
310,PDGFRA_expression
311,PDGFRL_expression
312,PDK1_expression
313,PDPK1_expression
314,PHLDB2_expression
315,PIK3C2A_expression
316,PIK3C2B_expression
317,PIK3C2B1_mutation
318,PIK3C3_expression
319,PIK3CA_expression
320,PIK3CA1_mutation
321,PIK3CB_expression
322,PIK3CD_expression
323,PIK3CG_expression
324,PIK3R1_expression
325,PIK3R5_expression
326,PIM1_expression
327,PIN4_expression
328,PLA2G2A_expression
329,PLCG1_expression
330,PLK1_expression
331,PLK3_expression
332,PPARG_expression
333,PPP1R13B_expression
334,PPP2R5A_expression
335,PPP2R5B_expression
336,PPP2R5C_expression
337,PRCC_expression
338,PRKAA2_expression
339,PRKCA_expression
340,PRKCB_expression
341,PRKCD_expression
342,PRKCE_expression
343,PRKCI_expression
344,PRKCQ_expression
345,PRKCZ_expression
346,PRKD1_expression
347,PRKD2_expression
348,PRKD3_expression
349,PRPF4B_expression
350,PRSS23_expression
351,PSMC4_expression
352,PSMC5_expression
353,PTCH1_expression
354,PTCH11_mutation
355,PTEN_expression
356,PTEN1_mutation
357,PTGS2_expression
358,PTHLH_expression
359,PTK2_expression
360,PTK2B_expression
361,PTK6_expression
362,PTPN13_expression
363,PTPN14_expression
364,PTPN3_expression
365,PTPN6_expression
366,PTPRA_expression
367,PTPRD_expression
368,PTPRF_expression
369,PTPRG_expression
370,PTPRN2_expression
371,PTPRS_expression
372,PTPRT_expression
373,PTPRU_expression
374,PXN_expression
375,RAC1_expression
376,RAD50_expression
377,RAD51_expression
378,RAD9A_expression
379,RAF1_expression
380,RANBP2_expression
381,RAP1A_expression
382,RAP1GAP_expression
383,RASA1_expression
384,RASA11_mutation
385,RASA2_expression
386,RB1_expression
387,RB11_mutation
388,RBL1_expression
389,RBX1_expression
390,REL_expression
391,RET_expression
392,RHOA_expression
393,RICTOR_expression
394,RIPK1_expression
395,ROCK2_expression
396,ROR1_expression
397,RPA1_expression
398,SCYL1_expression
399,SCYL2_expression
400,SETD7_expression
401,SGK1_expression
402,SGK3_expression
403,SH2D2A_expression
404,SHC1_expression
405,SHC2_expression
406,SIAH2_expression
407,SIX4_expression
408,SKP1_expression
409,SKP2_expression
410,SMAD2_expression
411,SMAD3_expression
412,SMAD4_expression
413,SMAD41_mutation
414,SMYD2_expression
415,SNAI1_expression
416,SOS1_expression
417,SOS2_expression
418,SP1_expression
419,SPC25_expression
420,SRC_expression
421,SRPK1_expression
422,SRPK2_expression
423,SRSF6_expression
424,SSH1_expression
425,ST13_expression
426,STAM_expression
427,STAT3_expression
428,STAT5A_expression
429,STAT5B_expression
430,STAT6_expression
431,STK11_expression
432,STK111_mutation
433,STMN1_expression
434,SYK_expression
435,SYNE1_expression
436,TBK1_expression
437,TCF7L2_expression
438,TEC_expression
439,TERT_expression
440,TGFB1_expression
441,TGFBR2_expression
442,TIPARP_expression
443,TLR2_expression
444,TLR3_expression
445,TLR4_expression
446,TNFRSF10B_expression
447,TNFRSF1A_expression
448,TNIK_expression
449,TOE1_expression
450,TOP1_expression
451,TOP2A_expression
452,TP53_expression
453,TP531_mutation
454,TP53BP1_expression
455,TPX2_expression
456,TRAF6_expression
457,TRAM1_expression
458,TRIB3_expression
459,TRIM24_expression
460,TRIM28_expression
461,TRIM33_expression
462,TRRAP_expression
463,TSC1_expression
464,TSC2_expression
465,TTBK2_expression
466,TTK_expression
467,TTN_expression
468,TUBB1_expression
469,TWIST1_expression
470,TXK_expression
471,TYK2_expression
472,UCK2_expression
473,UHRF2_expression
474,UMPS_expression
475,UPF1_expression
476,UQCRC2_expression
477,USP9X_expression
478,VAV1_expression
479,VAV2_expression
480,VAV3_expression
481,VBP1_expression
482,VEGFA_expression
483,VHL_expression
484,VRK1_expression
485,VRK2_expression
486,VRK3_expression
487,WASF2_expression
488,WASL_expression
489,WDR75_expression
490,WNK1_expression
491,WNT10A_expression
492,WNT3_expression
493,WNT4_expression
494,WNT5A_expression
495,WNT7A_expression
496,XIAP_expression
497,XPC_expression
498,XPO1_expression
499,XRCC1_expression
500,YES1_expression
501,ZAP70_expression
502,ZIC2_expression
